avgAnnCount,avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate
50.0,23,176.8,384.8,34341,8607,17.6,0.0,48.4,47.9,49.0,2.24,56.4,10.0,54.9,27.1,8.0,47.4,10.0,50.7,5.7,60.0,40.0,37.8,44.9,23.0,96.75750259,1.483270093,0.0,0.0,53.27803051,4.256631709
183.0,73,169.8,435.3,41420,33940,17.6,0.0,42.3,40.4,43.5,2.52,53.3,18.0,44.6,31.4,5.9,46.4,9.0,49.5,7.0,63.5,46.8,43.8,39.3,21.1,94.16427578,3.972315064,0.156762992,0.328314946,56.80724824,4.038301415
328.0,114,171.5,497.2,59472,56848,10.0,211.0892204,41.0,40.4,41.6,2.6,57.4,7.7,43.6,43.0,5.8,37.8,14.8,57.7,3.7,73.6,59.4,55.3,31.2,15.8,96.62520319,1.500106015,0.33924659,0.169623295,58.72299258,6.034482759
65.0,33,259.5,511.9,29331,8755,26.1,114.2204455,46.3,45.5,46.6,2.28,54.1,10.4,54.6,32.3,2.8,43.0,5.3,40.2,14.8,45.1,31.2,28.2,53.3,35.4,97.98364512,0.123221687,0.369665061,0.0,48.72652431,4.203539823
356.0,123,160.1,482.4,52485,63531,10.7,487.9507642,40.6,39.1,42.0,2.44,55.6,14.2,36.1,42.6,7.0,38.5,13.5,61.8,5.1,73.4,56.9,50.8,33.9,15.7,95.12569413,1.358983689,1.202360423,0.229397712,55.24062236,5.497771174
187.0,104,192.8,354.7,46475,43601,13.9,0.0,40.6,39.8,41.3,2.28,47.6,10.9,26.9,54.7,7.5,33.2,15.4,59.9,7.0,66.5,51.4,47.1,37.9,20.6,92.94732756,1.102764903,1.137012261,0.264846229,44.24412034,6.150455775
257.0,108,166.9,428.2,46972,52250,15.0,0.0,36.1,33.2,39.7,2.44,48.6,8.4,23.8,63.0,4.7,38.7,13.1,62.2,4.6,74.8,58.4,50.5,30.4,13.9,96.73716716,1.303190973,0.736079551,0.273844899,51.66349565,5.174434328
20.0,10,187.4,400.6,43883,3091,12.1,0.0,49.5,47.7,50.5,2.21,61.0,11.9,14.8,59.1,14.2,42.3,10.0,62.2,3.1,75.6,55.9,44.3,35.3,14.8,97.90794979,1.223044738,0.193112327,0.418410042,53.95787945,7.992565056
72.0,33,164.7,389.2,51335,13806,10.6,0.0,41.3,38.2,43.6,2.31,56.5,13.6,25.8,55.3,5.3,32.6,19.0,65.5,2.0,77.4,58.2,44.1,28.9,11.6,95.60940326,0.933092224,0.224231465,0.701627486,55.1213419,6.993486459
1962.667684,55,143.2,453.5494221,72648,51935,10.8,0.0,33.5,32.9,34.1,2.87,56.6,19.0,33.7,42.3,5.1,26.8,12.3,67.0,5.5,73.0,63.9,60.9,18.5,10.0,88.13661223,1.289709476,0.927039293,2.561964237,57.82097649,6.700733537
1962.667684,4,262.1,453.5494221,47180,829,14.0,0.0,46.5,43.0,47.5,2.35,44.3,1.2,62.7,36.1,0.0,43.2,12.6,46.0,11.9,56.5,38.8,34.9,37.1,16.5,87.37949167,0.0,0.0,7.975460123,40.57971014,4.326923077
1962.667684,4,178.7,453.5494221,70535,2016,9.8,0.0,43.9,44.9,42.6,2.17,64.7,48.1,19.2,32.7,0.0,35.8,14.2,64.0,4.7,76.4,63.3,52.6,18.6,2.6,95.80587178,0.119832235,0.0,1.437986818,56.06258149,2.412868633
1962.667684,9,127.4,453.5494221,45629,5036,15.1,0.0,37.4,37.3,38.1,2.55,56.8,30.1,38.4,30.7,0.8,32.1,15.9,41.0,11.8,64.1,51.8,48.5,31.5,15.5,90.64304967,2.9264536,0.077011937,0.904890258,59.21402018,4.519774011
1962.667684,20,254.3,453.5494221,40714,4478,19.0,0.0,48.7,48.0,49.2,0.0225,41.8,6.1,42.3,51.6,0.0,31.2,6.8,48.1,15.4,58.1,39.6,36.4,43.2,21.6,66.68856767,1.314060447,4.095488392,4.358300482,34.42211055,9.518477044
360.0,133,168.8,481.8,57556,47285,10.7,0.0,50.3,49.3,51.0,2.22,59.4,14.8,44.4,37.5,3.4,31.4,20.0,56.6,5.8,70.0,47.9,40.2,36.4,13.4,97.39650201,0.359901501,0.599835834,0.027360933,54.68263699,7.381867511
452.0,156,162.8,489.4,56008,75909,11.8,13.17366847,42.0,41.4,42.5,2.34,48.4,6.1,24.1,60.9,9.0,33.8,19.4,62.2,6.1,75.0,60.3,55.0,28.7,12.7,95.68755724,0.730079812,1.17493131,0.392516028,48.86415562,4.687933426
2075.0,694,163.2,482.2,71233,406678,8.7,105.7347582,40.1,39.2,41.1,2.55,51.4,12.9,31.8,40.4,14.9,27.2,23.0,66.1,5.9,76.7,64.4,59.0,25.2,12.7,90.78351965,2.388531878,3.608418405,0.934223164,51.98701098,5.055576216
879.0,309,173.1,507.6,62429,147994,9.5,378.3937187,42.6,41.4,43.7,2.49,51.5,10.9,29.9,49.9,9.3,28.4,21.5,62.9,5.2,76.3,61.5,56.3,28.3,13.1,94.9824123,1.181567546,1.635180834,0.407437085,53.12759016,3.901815696
1624.0,584,179.5,505.5,54208,274219,15.1,43.76064386,40.6,38.9,42.0,2.64,45.1,12.3,32.4,45.8,9.4,32.9,17.0,58.0,12.5,66.9,49.9,45.3,33.4,17.7,67.14492185,15.56381093,8.286488292,5.106835745,44.80543715,4.69661296
5164.0,1722,147.3,468.1,84309,938506,7.6,330.3122196,41.5,40.0,42.9,2.73,54.2,10.1,25.0,47.3,17.6,24.3,29.5,61.4,6.5,75.5,64.3,57.8,23.3,11.8,70.42738549,5.833882094,15.62164671,5.683611672,56.4163314,4.077070131
2768.0,914,171.6,531.8,80479,450226,7.2,446.4424533,41.0,39.2,42.6,2.66,50.8,11.3,34.5,41.1,13.0,29.5,23.3,61.0,8.5,81.4,65.2,58.6,25.7,10.6,72.79982954,16.12030469,4.655137208,2.602118272,53.74561974,4.910516481
847.0,314,193.1,559.1,55409,94727,13.0,179.4630887,48.3,46.7,49.9,2.3,53.4,14.3,33.2,41.9,10.7,34.1,19.5,53.0,10.0,72.1,50.9,44.8,38.2,16.8,90.84703304,4.732529617,1.151296905,1.61160691,51.14075027,5.43325019
1691.0,602,193.5,544.2,78983,291479,8.2,106.3541456,39.6,38.2,40.8,2.74,51.7,10.6,30.4,48.0,10.9,34.3,19.9,61.3,9.2,78.0,64.6,60.1,26.2,12.8,81.98850836,10.11546755,2.995886985,2.231500045,55.37173438,4.878014043
1997.0,648,160.3,504.7,73750,371398,11.8,96.93105509,38.4,36.9,39.9,2.69,47.2,12.1,25.0,50.9,12.0,25.6,20.7,59.5,9.4,73.1,60.6,55.9,27.4,14.5,62.9261072,20.1471049,10.07800936,4.855326137,49.8130927,4.725836381
3980.0,1357,156.7,466.7,77330,840900,8.3,89.19015341,37.7,36.6,38.9,2.85,51.6,9.0,22.1,54.8,14.1,26.3,24.5,60.4,7.5,74.6,64.2,59.8,23.0,12.1,61.04600747,9.84306877,23.23810671,3.426592798,55.65982883,5.074989438
3887.0,1269,168.6,529.6,87220,628715,8.2,146.3302132,42.3,40.9,43.6,2.67,53.2,10.9,26.8,44.8,17.4,25.6,26.1,60.8,7.9,78.8,64.2,58.1,24.2,10.7,82.60289104,7.286251262,5.283819544,2.606228693,55.28066751,4.571872443
623.0,227,175.1,485.9,71294,106869,8.3,28.0717514,42.6,41.4,43.7,2.52,54.5,14.6,27.0,45.2,13.2,34.0,19.7,61.3,9.0,76.9,62.9,58.3,26.3,12.4,89.1518848,4.11560629,2.70829836,2.343647996,54.94516044,4.839230894
2820.0,1031,147.1,404.1,47192,676685,18.7,294.0807022,36.5,35.2,37.9,2.52,43.7,18.9,25.7,48.3,7.2,23.8,17.9,57.5,8.4,58.5,46.0,39.2,37.7,24.1,71.84702564,2.966719737,2.320819416,14.06276198,41.35260379,5.264795797
239.0,107,170.8,391.3,57007,57578,14.1,0.0,36.5,35.3,37.7,2.66,50.3,23.4,35.6,38.9,2.2,34.0,10.7,60.1,5.8,62.3,49.5,44.6,34.9,21.3,89.60119336,1.324562822,0.517603925,5.422260563,49.8110282,9.558702453
22.0,11,166.3,357.0,34304,4423,24.5,678.2726656,41.8,40.6,42.4,2.47,46.1,23.7,48.5,27.2,0.7,31.0,9.3,50.0,12.2,42.7,27.4,23.4,51.9,35.0,91.21257807,0.258453586,0.0,5.104458324,44.58424508,5.485232068
154.0,62,135.2,339.0,36125,32907,19.2,0.0,46.8,46.1,48.5,2.44,42.4,23.4,36.4,34.5,5.8,25.4,16.9,52.8,10.7,47.3,32.0,23.8,50.3,29.3,70.61894788,0.531220593,0.807455302,18.37112588,41.50030248,4.706601467
1775.0,637,176.1,505.9,60371,309381,13.5,420.193871,37.9,36.4,39.6,2.35,40.8,7.2,23.6,51.8,17.4,26.5,20.1,60.7,6.4,77.7,62.2,57.6,30.1,14.2,77.04374185,12.55825904,5.672877712,1.315280213,40.08229986,3.774039071
465.0,163,158.6,470.8,52792,78288,12.7,102.1867975,42.5,41.2,44.0,0.0243,46.8,19.4,27.7,45.6,7.3,34.1,12.5,56.9,7.3,71.0,53.2,48.7,36.2,17.9,92.2839857,4.355020019,0.428176272,0.588584492,45.81880408,5.470136014
337.0,121,180.3,512.4,46387,48844,16.7,0.0,43.8,42.6,45.0,0.0249,50.2,16.6,36.4,41.2,5.8,39.2,9.5,53.6,7.1,66.0,48.8,44.9,40.7,20.8,96.24210378,0.849663969,0.534824114,0.478314396,49.42212718,5.052412881
183.0,77,191.0,456.9,60121,34602,11.5,0.0,43.7,42.8,44.4,2.64,55.1,14.8,50.4,32.1,2.7,37.0,13.0,58.3,8.1,67.4,51.9,46.1,30.2,14.3,78.38815983,16.67451303,0.517860295,1.894897899,58.25863279,5.015546843
309.0,120,153.3,396.2,43484,97653,24.8,256.00852,27.5,26.2,29.6,2.48,39.1,2.7,11.3,72.3,13.7,21.8,23.2,55.0,5.6,82.4,70.1,58.2,19.9,8.7,86.72084754,4.348637358,6.119191019,0.910155805,43.44441603,3.135414054
120.0,44,194.3,526.7,48076,14785,13.4,0.0,48.4,45.7,49.4,2.33,50.0,12.9,48.5,29.8,8.9,33.6,14.4,54.4,5.7,69.1,49.5,40.9,36.0,15.2,83.89419841,13.44057074,0.249024095,1.346076188,44.34453384,5.74048913
94.0,39,201.4,454.3,72406,20392,6.2,0.0,43.1,41.9,44.5,2.61,60.6,13.9,41.3,36.8,8.0,33.0,16.7,62.8,6.1,83.8,69.0,59.5,21.7,8.7,81.64110429,12.25460123,0.77198364,0.552147239,63.5566516,2.628490965
103.0,48,227.1,527.2,36822,12155,21.5,0.0,48.3,45.2,50.5,2.26,46.4,17.8,39.8,35.9,6.4,34.2,14.0,48.1,9.5,56.8,36.9,29.8,41.3,20.6,61.59717663,36.44123441,0.796126067,0.500656599,41.0632622,6.455750321
225.0,82,177.3,503.5,59282,35385,10.7,0.0,42.6,41.0,44.0,2.66,54.7,10.7,47.3,37.5,4.5,34.7,15.2,53.8,7.9,69.9,51.4,45.9,33.9,15.7,82.58469187,12.74135738,0.994334605,1.008787143,56.73692428,2.100668394
115.0,58,159.2,338.0,48497,22354,13.0,0.0,48.3,47.1,49.2,2.39,55.0,16.0,46.7,32.4,5.0,36.3,13.8,51.9,4.1,69.3,48.9,39.5,35.0,15.6,93.75334165,2.86936375,0.699518802,0.770807343,53.65382552,6.476146578
518.0,191,172.5,449.4,75714,130475,9.2,176.2789806,36.7,35.7,37.8,2.97,56.0,11.8,40.1,37.3,10.8,31.7,17.9,63.3,6.2,78.3,62.8,53.8,21.9,9.4,74.25660383,15.97215152,2.534242821,3.81467762,61.33152745,6.051314143
224.0,127,208.1,376.4,38292,42899,19.2,23.31056668,43.1,40.8,46.1,2.38,53.9,14.6,41.1,40.7,3.7,35.8,8.5,46.2,8.0,59.0,43.4,38.9,41.7,23.6,94.73672213,2.924549806,0.394346934,0.091178482,52.52355316,6.033920417
178.0,84,202.5,428.2,60714,39083,11.3,0.0,40.4,39.0,41.5,2.62,51.2,7.9,38.7,45.0,8.5,36.6,13.9,60.8,7.2,75.2,59.9,53.3,25.6,11.7,90.77466802,4.007172371,1.042072711,0.522335698,52.57588415,5.544668588
176.0,106,223.4,367.3,38528,39718,21.9,0.0,39.8,37.8,41.5,2.46,47.5,12.2,35.6,46.3,5.9,32.4,9.0,41.3,11.0,59.7,43.7,40.0,42.3,22.9,92.66962744,5.418208734,0.47125586,0.180113496,49.41654648,3.651138835
117.0,43,159.3,493.6,52355,17820,11.5,0.0,40.0,37.7,43.5,2.44,47.4,14.1,44.2,27.1,14.6,35.2,13.7,54.9,8.3,74.6,53.4,43.0,32.2,12.5,79.65743648,13.05737939,3.499857265,1.741364545,42.69631298,3.664122137
139.0,65,244.9,547.6,40122,22378,19.5,0.0,36.9,34.9,38.1,2.53,35.3,31.5,36.5,26.8,5.2,38.3,8.1,52.4,12.8,62.0,45.6,39.9,38.8,21.9,52.70434041,38.08519233,1.463261367,4.241662552,30.50769584,5.969289827
162.0,63,186.6,511.5,54195,25432,10.2,432.5259516,40.5,40.1,40.9,2.29,47.3,7.0,23.8,60.9,8.4,29.8,17.1,59.7,4.8,75.1,59.3,53.7,27.2,13.3,88.11047089,7.792569044,2.074309557,0.596065965,46.2518666,4.609250399
406.0,169,199.3,472.0,60735,88161,13.6,11.34288404,38.3,36.6,39.4,2.75,50.4,13.9,37.4,42.3,6.3,28.3,16.4,59.3,8.0,73.4,56.7,43.1,28.9,15.1,52.36238745,41.79430057,1.385407964,0.548825768,52.22007099,5.719705952
135.0,23,162.1,1014.2,46954,15052,20.1,0.0,24.6,25.6,23.6,2.37,26.2,1.5,10.0,78.3,10.2,15.5,27.1,44.5,8.5,83.3,67.6,52.2,22.0,8.9,74.88816592,15.27721296,5.889928155,0.460891962,36.33759365,2.181467181
112.0,60,188.3,371.3,44055,22105,16.3,0.0,44.2,43.6,44.9,2.34,52.7,23.8,37.5,36.7,2.0,30.5,12.9,52.4,9.6,64.1,43.5,37.1,43.3,21.2,93.52994555,0.444646098,0.875680581,0.762250454,49.15961888,3.801794105
30.0,14,194.4,476.2,45465,3944,15.5,0.0,49.5,47.7,50.9,2.31,52.4,6.6,31.4,60.2,1.8,27.5,16.3,46.2,10.4,60.7,38.5,27.8,50.6,26.2,91.75231888,0.350965154,0.551516671,3.359237904,51.06761566,5.205479452
194.0,70,157.4,449.9,51151,40534,15.5,24.67064686,37.0,36.1,38.3,2.76,58.1,18.9,38.9,40.4,1.8,27.7,12.8,59.7,6.5,55.3,41.1,37.2,40.7,26.0,73.33771055,0.3409177,0.742442991,21.15709993,59.49197861,4.643274854
187.0,79,170.7,414.6,38989,38033,19.9,0.0,39.0,38.5,40.0,2.46,45.0,12.4,30.4,50.8,6.3,37.8,11.8,46.3,11.7,65.2,46.0,40.3,40.2,20.2,71.56481625,6.69413777,0.904473125,0.251386513,48.96763592,5.803003309
286.0,125,149.1,345.3,60650,77390,10.0,0.0,39.7,38.7,40.5,2.64,54.7,9.3,21.9,57.1,11.7,27.9,19.1,59.1,6.5,80.6,63.1,57.7,28.0,11.3,93.60379689,1.56816852,1.388726351,0.607242702,56.7383997,4.540884719
260.0,105,180.1,446.7,42431,70698,28.3,99.01270192,26.3,26.3,26.1,2.61,34.9,5.1,17.0,72.3,5.6,31.8,15.5,55.9,11.3,72.6,58.7,51.3,27.1,14.2,88.56075507,2.585291995,1.693811997,0.305650285,40.69583553,3.814938787
12.0,5,113.5,337.6,40411,2168,12.7,0.0,54.5,53.2,55.4,2.1,55.6,20.8,32.7,37.6,8.9,32.6,13.5,44.8,7.0,66.2,37.7,30.8,50.8,20.6,98.36214741,0.864422202,0.136487716,0.045495905,49.03846154,7.936507937
436.0,160,154.4,438.7,51629,83632,11.9,0.0,40.9,39.7,42.4,2.45,57.2,13.1,34.5,43.6,8.8,29.6,19.4,55.6,8.5,76.5,58.6,53.6,31.9,13.4,93.6549316,1.381182436,2.330670621,0.611068593,55.87649106,5.762837089
134.0,62,177.0,402.9,35968,20937,21.4,0.0,49.0,48.5,49.8,2.22,54.7,28.6,27.9,38.8,4.7,40.9,7.5,43.2,12.4,60.1,36.1,31.5,51.0,24.2,96.80049006,0.310998021,0.560738856,0.259165017,49.31100276,6.505717916
145.0,64,194.7,457.0,44693,24253,13.2,0.0,44.2,43.6,44.9,2.38,56.8,20.5,39.6,30.9,8.9,36.6,13.5,54.6,8.2,68.4,49.8,44.4,39.2,19.0,95.80796156,0.381094404,0.625491902,0.381094404,54.27882684,3.216430924
1490.0,494,157.0,463.9,62861,358880,14.3,1290.124833,33.4,32.3,34.6,2.43,44.3,5.6,15.4,60.4,18.5,15.7,25.4,60.4,7.4,82.2,68.7,60.9,23.4,10.2,74.0632378,12.07313354,8.438202501,0.903719937,44.8630013,4.120270702
282.0,100,181.4,522.0,48357,48494,13.8,41.24221553,36.1,35.7,36.4,2.54,42.2,3.5,18.1,71.1,7.2,34.7,13.4,59.6,6.1,75.3,59.5,54.3,31.6,15.4,94.28868544,1.765797362,0.913484085,0.776869278,45.19096738,3.084671073
255.0,97,164.5,463.7,50182,38478,12.0,25.98887676,45.9,44.0,48.1,2.37,50.5,17.8,39.2,34.8,8.2,34.5,13.4,53.7,7.9,70.8,49.9,45.8,39.4,17.4,93.04584704,3.068462171,0.560238487,1.477693257,51.22478386,3.244249435
388.0,141,181.6,520.5,52410,58937,12.0,0.0,42.7,41.4,43.9,2.45,52.8,13.1,32.7,42.4,11.8,37.2,12.0,61.0,6.7,73.2,55.4,51.9,34.7,16.6,92.19785395,2.775068115,0.694607959,1.422853106,51.63756371,6.002939584
243.0,93,161.4,440.0,37884,34201,18.1,0.0,49.0,46.4,50.9,2.16,58.1,24.7,24.8,41.2,9.3,29.8,14.9,47.3,7.3,55.4,35.2,27.1,44.4,21.7,92.19316607,1.105575046,0.71936083,4.263097379,51.66065911,5.212083268
3590.0,1216,158.6,451.0,59049,1034070,15.2,307.5227016,34.5,33.4,35.6,2.57,45.3,14.7,25.0,44.8,15.5,19.1,28.4,65.3,8.9,67.9,58.5,50.5,24.6,15.4,56.67573474,30.94009016,5.166880746,4.078914417,43.17563049,5.350191695
145.0,61,189.9,452.7,32063,20426,25.8,48.9572114,47.1,44.2,49.7,2.35,38.6,22.1,33.9,41.7,2.3,35.9,7.2,41.3,15.9,50.3,34.1,28.6,48.4,27.2,39.95526153,56.8130979,0.10946647,0.304602351,37.33487833,2.454590083
540.0,183,157.3,436.7,60304,141354,14.1,240.5308658,33.3,32.7,33.9,2.47,45.2,5.8,23.9,55.3,15.0,15.6,25.4,61.6,6.4,79.3,67.6,54.4,20.2,10.1,74.98196821,11.67522576,7.298548801,2.585037939,47.73130301,4.202796852
230.0,98,198.1,477.8,45841,39259,18.7,0.0,508.8,41.5,43.4,2.52,47.6,22.2,28.0,44.7,5.1,35.5,11.3,53.0,11.9,60.0,45.4,37.9,39.3,22.3,68.76623707,27.37761703,0.430441648,1.533289185,45.40726776,6.140350877
144.0,58,156.1,423.9,45464,20366,14.7,0.0,50.9,48.9,53.4,2.3,56.1,15.0,30.2,45.7,9.2,27.2,18.6,48.0,8.8,68.0,45.1,35.6,41.3,17.1,91.42519801,5.086830324,0.122989128,1.972745609,53.52258361,4.746227709
822.0,315,189.8,508.1,44973,139142,18.0,64.6821233,40.3,38.8,41.5,2.6,49.1,17.6,30.0,47.4,4.9,32.8,12.3,51.2,11.5,59.1,44.6,38.8,38.8,23.1,78.11738857,16.14110913,0.908493,2.792694473,49.51174146,4.889016456
203.0,80,189.6,487.8,32782,35509,28.9,112.6474978,39.1,36.8,40.9,2.59,38.9,20.9,31.0,45.4,2.7,34.0,10.1,39.3,15.5,47.7,33.6,28.0,48.3,32.2,46.05365691,38.45318936,0.768117555,1.185572749,40.22006771,6.79431748
24.0,13,222.3,431.0,32773,4070,28.3,0.0,44.4,41.8,49.3,2.45,42.5,28.1,40.7,31.2,0.0,37.1,3.9,38.0,14.1,50.1,31.8,19.8,46.5,23.0,59.89884393,30.39499037,2.817919075,4.359344894,47.13990351,7.088989442
257.0,106,198.5,490.4,33609,44568,27.0,112.188117,40.0,37.6,41.4,2.65,37.7,27.2,40.1,31.9,0.9,37.6,8.2,49.6,12.2,50.1,31.6,25.8,47.3,28.7,43.62800866,49.60405095,0.455062571,4.079948248,36.87986015,6.678752027
431.0,193,199.1,452.4,39268,81714,23.9,305.9451257,39.9,38.2,41.4,2.5,44.8,23.3,33.8,36.1,6.7,33.0,12.6,54.0,10.1,56.4,42.1,36.1,39.4,23.2,50.86846202,38.38884054,0.927912136,6.921954867,42.64912664,4.940815895
219.0,89,179.7,449.1,40801,37585,17.2,0.0,42.9,41.5,44.1,2.45,53.1,13.9,44.3,38.2,3.5,34.3,8.4,51.4,8.3,60.3,43.0,37.5,39.4,21.8,91.39343183,3.381528008,0.055305365,3.149772195,49.89264103,6.549178376
32.0,12,169.9,462.9,39342,6753,29.9,0.0,31.0,31.2,30.9,2.97,41.4,21.9,36.4,35.6,6.2,32.5,10.8,52.3,6.1,47.6,38.1,30.4,42.4,30.8,42.71415955,0.0,0.073594348,0.647630262,42.4122807,9.492753623
20.0,10,227.6,532.1,47596,2365,10.7,0.0,48.3,48.5,48.0,2.15,51.0,7.4,50.9,41.7,0.0,28.7,18.1,63.5,1.9,75.6,58.2,44.2,32.7,14.2,93.29113924,0.0,0.0,0.5907173,43.96226415,8.208955224
18.0,8,147.3,385.4,39679,2388,16.1,0.0,53.6,53.7,53.6,2.05,62.6,26.1,41.3,20.7,12.0,38.2,13.7,59.8,3.4,77.1,52.9,29.7,35.5,11.6,97.45977985,0.33869602,0.0,0.423370025,55.1056338,7.277628032
